num,artist,song
112,Bob Dylan (Elvis Presley),Tomorrow Is A Long Time
113,U2 (Clivilles & Cole),In the Name of Love
114,The Eagles (The Cat Empire),L'Hotel Californie
115,The Beatles (Telly Savalas),Something
116,Queen & David Bowie (My Chemical Romance),Under Pressure
117,Queen (Metallica),Stone Cold Crazy
118,Fleetwood Mac (Smashing Pumpkins),Landslide
119,Prince (Foo Fighters),Darling Nikki
120,The Simpsons (Sonic Youth),The Simpsons Theme
121,Oasis (Cat Power),Wonderwall
122,The Beatles (Jad Fair),Tomorrow Never Knows
123,Gene Wilder [or Willie Wonka] (Fiona Apple),Pure Imagination
124,Cat Stevens (Johnny Cash),Father and Son
125,Rsay Charles (Johnny Cash and June Carter),I Got A Woman
126,Bob Marley (Johnny Cash & Joe Strummer),Redemption Song
127,Depeche Mode (Johnny Cash),Personal Jesus
128,Pulp (William Shatner),Common People
129,The Cure (Grant Lee Phillips),Boys Don't Cry
130,Prince [or the Bangles] (Billie Joe Armstrong),Manic Monday
131,Neil Young (Pussy Riot),Keep on Rockin In the Free World
132,The Boomtown Rats (Ron Sexsmith),I Don't Like Mondays
133,The Only Ones (The Coal Porters),"Another Girl, Another Planet"
134,John Denver (Toots and the Maytals),Take Me Home Country Roads
135,The Byrds (Husker Du),Eight Miles High
136,Eminem (Sharks in Your Mouth),Lose Yourself
137,Aqua (Alex Terrible),Barbie Girl
138,NSYNC (Our Last Night),Bye Bye Bye
139,Radiohead (Sad Kermit),Creep
140,Genesis (Disturbed),Land of Confusion
141,Frankie Valli and the 4 Seasons (Muse),Can't Take My Eyes Off You
142,Nine Inch Nails (Johnny Cash),Hurt
143,The Beatles (Junior Parker),Tomorrow Never Knows
144,The Hollies (Shovels & Rope),The Air That I Breathe
145,"Astrud Gilberto, Jo?o Gilberto and Stan Getz (Nat King Cole)",The Girl From Ipanema
146,Gerry Rafferty (Lucius),Right Down the Line
147,The Beatles (Jerry Garcia),I Saw Her Standing There
148,Neil Young (Lord Huron),Harvest Moon
